State,Delta,Theta,Alpha,Beta,Gamma
Baseline,1829.55,4929.77,4468.48,9195.11,269284.14
Baseline,3340.43,3630.95,2558.55,9426.20,267382.96
Baseline,3076.42,6379.89,3974.07,13192.11,269820.90
Baseline,7281.97,3884.00,5802.53,10854.70,260617.25
Baseline,1456.38,2383.69,3366.73,9275.42,261543.96
Baseline,675.69,2512.35,4184.70,9332.98,261290.28
Baseline,2825.68,3472.15,3675.46,13407.89,271212.53
Baseline,1392.36,10289.94,4226.50,10619.47,268844.86
Baseline,3033.51,9668.13,11921.06,11909.59,280897.16
Baseline,3348.87,9964.09,10390.32,19295.71,277454.25
Baseline,3071.64,4402.34,2764.28,16849.89,268652.89
Baseline,3681.43,8530.95,2359.96,15488.18,265659.73
Baseline,1234.83,6580.50,3612.70,13078.34,274135.15
Baseline,3715.16,8324.13,3707.88,9140.17,273683.73
Baseline,3077.07,5540.04,4997.79,10636.86,271507.56
Baseline,1911.75,5418.25,1952.60,13137.24,270467.92
Baseline,3331.57,5859.56,4490.07,12067.93,271244.24
Baseline,3405.97,4684.39,1936.61,9727.68,268924.97
Baseline,2977.16,5997.23,6036.33,12901.64,276281.95
Baseline,485.89,6681.10,4794.30,11108.19,271642.54
Baseline,1121.85,6191.06,3261.36,11684.61,272999.87
Baseline,4473.11,4506.55,4283.00,10921.22,277424.36
Baseline,4666.12,4478.28,4801.85,10440.03,273643.64
Baseline,3967.66,4021.14,3539.74,8016.79,272877.74
Baseline,2769.80,5812.41,4094.88,13686.41,274641.07
Baseline,2719.86,6788.31,4103.07,12214.94,275205.05
Baseline,2743.27,5837.64,2884.95,9625.95,267779.59
Baseline,3516.99,4407.37,5448.80,14322.53,270246.43
Baseline,2156.84,7096.05,7676.07,14675.57,273602.04
Baseline,2724.37,4146.74,4333.68,12209.05,273678.47
Baseline,4024.71,10753.75,5018.80,11975.15,277268.25
Baseline,3317.10,9325.51,11473.41,19531.38,284072.99
Baseline,2115.35,10701.05,8869.84,12882.12,273109.93
Baseline,2779.23,7307.11,4928.18,12428.97,272751.48
Baseline,2630.70,7355.11,4672.64,10351.20,273409.83
Baseline,2349.16,5613.48,3529.33,11491.42,275081.59
Baseline,2121.14,4469.00,3079.97,9849.80,272255.05
Baseline,921.91,6487.88,4979.66,9372.96,267124.52
Baseline,1530.00,3966.28,3745.30,8742.78,271591.22
Baseline,1821.34,2839.34,3445.43,11847.05,272374.27
Baseline,1620.05,5313.33,1575.65,8861.20,265417.34
Baseline,1120.91,4166.38,5738.94,7788.72,266884.59
Baseline,1073.20,3685.87,4841.59,7261.32,268829.08
Baseline,2729.75,4021.06,3109.06,10198.62,260646.08
Baseline,330.74,8306.33,6151.00,10336.83,271074.53
Baseline,2260.82,2957.74,3059.29,9695.01,263242.38
Baseline,2838.21,7842.77,3745.36,8255.08,268160.42
Baseline,1391.54,3401.42,1905.07,7019.14,266392.74
Baseline,3872.15,4875.41,4269.99,12723.38,272528.59
Baseline,5040.76,4365.24,5353.72,11127.11,271699.90
Baseline,2619.49,5127.16,4326.02,10637.47,267290.38
Baseline,1891.12,3152.83,6267.23,8836.53,269864.99
Baseline,2788.00,3613.41,4025.71,10274.12,268648.93
Baseline,1848.68,5567.35,4762.93,12130.21,268730.23
Baseline,2620.67,3217.54,2794.17,8309.52,270953.26
Baseline,3696.04,4898.35,2617.06,13300.95,272171.18
Baseline,2766.49,2332.03,4218.44,9306.46,265674.16
Baseline,1169.37,4301.79,4011.91,8069.05,267026.07
Baseline,1912.17,4252.34,3914.70,11502.62,270506.61
Baseline,1604.20,4850.74,2661.50,5581.74,262903.57
Baseline,671.68,4088.09,4999.99,11059.43,269261.26
Baseline,1334.32,5631.09,7574.34,10438.26,268525.27
Baseline,1452.45,5687.04,4926.16,13744.08,270648.94
Baseline,3061.31,7078.64,6766.52,11026.68,267253.93
Baseline,1587.77,4029.85,2965.25,8905.12,266290.34
Baseline,4515.83,4333.25,5955.62,8852.31,262502.79
Baseline,8477.11,9187.86,3476.51,14360.69,242487.77
Baseline,8471.68,6198.66,9691.27,24132.97,257067.06
Baseline,10071.18,20424.54,21964.73,22366.06,268318.82
Baseline,6895.00,7881.37,10077.85,15134.15,288766.95
Baseline,7286.87,8002.55,8277.93,13048.63,272551.15
Baseline,29430.54,27244.69,7809.46,33657.38,293717.90
Baseline,6518.14,10636.81,8879.76,30496.59,319777.72
Baseline,11945.82,7775.78,8521.02,21615.73,302171.23
Baseline,6597.10,17325.88,10889.51,27250.53,318276.79
Baseline,12433.66,18162.70,17285.29,21141.04,312394.16
Baseline,2823.67,2245.89,8326.92,18851.42,288511.37
Baseline,7770.31,5323.66,5493.42,13924.40,279368.51
Baseline,4379.37,10950.84,9347.85,36211.72,307416.14
